pygame 2.6.1 (SDL 2.28.4, Python 3.12.6)
Hello from the pygame community. https://www.pygame.org/contribute.html

=== POWER PELLET EATEN! ===
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=252
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=252
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=251
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=251
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=251
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=251
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=250
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=250
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=250
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=250
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=249
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=249
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=249
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=249
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=248
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=248
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=248
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=248
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=247
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=247
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=247
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=247
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=246
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=246
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=246
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=246
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=245
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=245
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=245
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=245
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=244
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=244
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=244
